1.088824678814874491e-01 0.000000000000000000e+00
0.000000000000000000e+00 2.706124538488503470e-02
2.469991325632969470e-01 1.049753257913463994e-02
2.725382677614014010e-02 1.876820051962206914e-01
4.275642131354446818e-01 6.347545749526239955e-02
6.373423864900440439e-01 8.626450837734792043e-02
1.785109982792457417e-01 2.045149013605857269e-01
8.708505491917684083e-01 1.490648518370860653e-01
2.325376896131801374e-01 3.506933696345340690e-01
5.000517098539974947e-01 3.394552244730540957e-01
1.091187860768592754e+00 1.833941669160573107e-01
6.414950737555196181e-01 3.899629156808055441e-01
1.469240203113807153e-01 4.769062193645484116e-01
2.907511494811947372e-01 4.719956035790816573e-01
5.095239286749929652e-01 5.000164883307031127e-01
8.582425063187846259e-01 4.704702946868205560e-01
7.155265192102959471e-02 5.142939771192247544e-01
6.938975049827589281e-01 5.213254514167794396e-01
1.528093055152860147e-01 5.693330107838665555e-01
1.070630051929256199e+00 5.251926919895714141e-01
2.852498855943563782e-01 5.653482937057033864e-01
1.720806550412759817e-01 6.427173595949269291e-01
3.446007846001916120e-01 6.279049913881730172e-01
5.119648895099141450e-01 6.190554654804467649e-01
4.361973166228054755e-01 7.007009517084372696e-01
3.156983818949331000e-01 7.092945809573948379e-01
5.881162099610768301e-01 6.738403261909780007e-01
2.077585334185785004e-01 7.151681902348002717e-01
1.025507121097842256e-01 6.955867904135846214e-01
6.639997018320877853e-01 6.677677793792704541e-01
1.013256771979591075e+00 6.584259607389666424e-01
7.632245088703775160e-01 6.776258676892615851e-01
1.142209498183165195e+00 7.236301428635868449e-01
8.963781163240638339e-01 7.186958892650361364e-01
2.121021904303844463e-01 8.013691230018098466e-01
1.142225636341134415e-01 8.211802101529815934e-01
